Symbol	Description
14D	1414 Degrees Limited
1AD	Adalta Limited
1AE	Aurora Energy Metals Limited
1AG	Alterra Limited
1AI	Algorae Pharmaceuticals Limited
1AIO	1AIO
1CG	One Click Group Limited
1CGO	1CGO
1MC	Morella Corporation Limited
1TT	Thrive Tribe Technologies Limited
29M	29metals Limited
360	Life360 Inc.
360KOA	360KOA
360KOB	360KOB
360KOC	360KOC
360KOD	360KOD
360KOE	360KOE
3DA	Amaero International Ltd
3DAO	3DAO
3DP	Pointerra Limited
3PL	3p Learning Limited..
4DS	4ds Memory Limited
4DX	4dmedical Limited
4DXO	4DXO
5EA	5e Advanced Materials Inc.
5GG	Pentanet Limited
5GN	5g Networks Limited
88E	88 Energy Limited
88EOA	88EOA
8CO	8common Limited
8IH	8i Holdings Ltd
8VI	8vic Holdings Limited
A11	Atlantic Lithium Limited
A1G	African Gold Limited
A1M	Aic Mines Limited
A1N	Arn Media Limited
A200	A200
A2M	The A2 Milk Company Limited
A2MKOB	The A2 Milk Company Limited
A2MKOD	The A2 Milk Company Limited
A2MKOF	The A2 Milk Company Limited
A2MKOP	The A2 Milk Company Limited
A2MKOQ	The A2 Milk Company Limited
A2MKOS	The A2 Milk Company Limited
A2MKOV	A2MKOV
A3D	Aurora Labs Limited
A4N	Alpha Hpa Limited
A8G	Australasian Gold Limited
AAA	Betashares Australian High Interest Cash
AAC	Australian Agricultural Company Ltd
AAI	Alcoa Inc (USA CUFS)
AAJ	Aruma Resources Limited
AAJO	AAJO
AAL	Apac Coal Ltd
AAM	A1 Minerals Ltd
AAP	Australian Agricultural Projects Limited
AAR	Anglo Australian Resources NL
AARO	Astral Resources Nl
AASF	AASF
AAU	Adcorp Australia Ltd
AAUO	AAUO
AAUOC	AAUOC
ABA	Auswide Bank Ltd
ABB	Aussie Broadband Ltd
ABE	Australian Bond Exchange Holdings Limited
ABG	Abigroup
ABV	Advanced Braking Technology Ltd
ABX	Abelle Ltd
ABXO	Abelle
ABY	Adore Beauty Group Ltd
AC8	Auscann Group Holdings Ltd
ACDC	Etfs Battery Tech & Lithium
ACE	Advanced Engine Components Ltd
ACF	Acumen Capital Property Securities Fund
ACL	Alchemia Ltd
ACM	Australian Critical Minerals Limited
ACMOA	ACMOA
ACP	Audalia Resources Limited
ACQ	Acorn Capital Investment Fund Limited
ACR	Acrux Ltd
ACS	Accent Resources NL
ACU	Acuvax Limited
