Symbol	Description
ADDA	AMEX Advance Decline Difference
ADDC	CSE Advance Decline Difference
ADDE	ETFS Advance Decline Difference
ADDN	NYSE Advance Decline Difference
ADDQ	NASD Advance Decline Difference
ADDS	TSX Advance Decline Difference
ADDT	Total Advance Decline Difference
ADDU	OTC US Advance Decline Difference
ADDV	TSXV Advance Decline Difference
ADDX	CAD Total Advance Decline Difference
ADRA	AMEX Advance Decline Ratio
ADRC	CSE Advance Decline Ratio
ADRE	ETFS Advance Decline Ratio
ADRN	NYSE Advance Decline Ratio
ADRQ	NASD Advance Decline Ratio
ADRS	TSX Advance Decline Ratio
ADRT	Total Advance Decline Ratio
ADRU	OTC US Advance Decline Ratio
ADRV	TSXV Advance Decline Ratio
ADRX	CAD Total Advance Decline Ratio
ADVA	AMEX Advancing Stocks
ADVC	CSE Advancing Stocks
ADVE	ETFS Advancing Stocks
ADVN	NYSE Advancing Stocks
ADVQ	NASD Advancing Stocks
ADVS	TSX Advancing Stocks
ADVT	Total Advancing Stocks
ADVU	OTC US Advancing Stocks
ADVV	TSXV Advancing Stocks
ADVX	CAD Total Advancing Stocks
AEX	AEX General - Netherlands
AMX	Amsterdam Midkap Index
AORD	All Ordinaries Index
ASHD	AMEX Declining Stocks
ASHF	AMEX Advances - Declines
ASHR	AMEX Advance Decline Ratio
ASHU	AMEX Advancing Stocks
ATX	ATX - Austria
AVDA	AMEX Advances Declines Volume Difference
AVDC	CSE Advance Decline Volume Difference
AVDE	ETFS Advances Declines Volume Difference
AVDN	NYSE Advances Declines Volume Difference
AVDQ	NASD Advances Declines Volume Difference
AVDS	TSX Advance Decline Volume Difference
AVDT	Total Advances Declines Volume Difference
AVDU	OTC US Advance Decline Volume Difference
AVDV	TSXV Advance Decline Volume Difference
AVDX	CAD Total Advance Decline Volume Difference
AVLD	AMEX Declining Volume
AVLF	AMEX Advance Decline Volume Difference
AVLR	AMEX Advance Decline Vol Ratio
AVLU	AMEX Advancing Volume
AVRA	AMEX Advance Decline Volume Ratio
AVRC	CSE Advance Decline Volume Ratio
AVRE	ETFS Advance Decline Volume Ratio
AVRN	NYSE Advance Decline Volume Ratio
AVRQ	NASD Advance Decline Volume Ratio
AVRS	TSX Advance Decline Volume Ratio
AVRT	Total Advance Decline Volume Ratio
AVRU	OTC US Advance Decline Volume Ratio
AVRV	TSXV Advance Decline Volume Ratio
AVRX	CAD Total Advance Decline Volume Ratio
AVVA	AMEX Advancing Volume
AVVC	CSE Advancing Volume
AVVE	ETFS Advancing Volume
AVVN	NYSE Advancing Volume
AVVQ	NASD Advancing Volume
AVVS	TSX Advancing Volume
AVVT	Total Advancing Volume
AVVU	OTC US Advancing Volume
AVVV	TSXV Advancing Volume
AVVX	CAD Total Advancing Volume
AXJO	Asx 200 Index
BANK	Nasdaq Bank
BCMA	Barchart Market Momentum Index Advances
BCMC	Barchart TSX Market Momentum Index
BCMD	Barchart Market Momentum Index Declines
BCME	Barchart TSX Market Momentum Index Advances
BCMF	Barchart TSX Market Momentum Index Declines
BCMG	Barchart TSX Market Momentum Index Unch
BCMM	Barchart Market Momentum Index
BCMU	Barchart Market Momentum Index Unch
BDMA	Barchart Market Momentum Advances Yesterday
BDMC	Barchart TSX Market Momentum Yesterday
BDMD	Barchart Market Momentum Declines Yesterday
BDME	Barchart TSX Market Momentum Advances Yesterday
BDMF	Barchart TSX Market Momentum Declines Yesterday
BDMG	Barchart TSX Market Momentum Unch Yesterday
BDMM	Barchart Market Momentum Yesterday
BDMU	Barchart Market Momentum Unch Yesterday
BEL	Bel 20 Index
BFMA	Barchart Market Momentum Advances Last Week
BFMC	Barchart TSX Market Momentum Last Week
BFMD	Barchart Market Momentum Declines Last Week
BFME	Barchart TSX Market Momentum Advances Last Week
BFMF	Barchart TSX Market Momentum Declines Last Week
BFMG	Barchart TSX Market Momentum Unch Last Week
BFMM	Barchart Market Momentum Last Week
BFMU	Barchart Market Momentum Unch Last Week
BGMA	Barchart Market Momentum Advances Last Month
BGMC	Barchart TSX Market Momentum Last Month
BGMD	Barchart Market Momentum Declines Last Month
BGME	Barchart TSX Market Momentum Advances Last Month
BGMF	Barchart TSX Market Momentum Declines Last Month
BGMG	Barchart TSX Market Momentum Unch Last Month
BGMM	Barchart Market Momentum Last Month
BGMU	Barchart Market Momentum Unch Last Month
BKX	KBW Bank Index
BTK	AMEX Biotechnology Index
BUX	B2B Internet Holdrs Index
BVSP	Bovespa - Brazil
BWH	POWERSHARES WILDERHILL CLEAN EN
CAC	CAC 40 Index
CASH	Cash $1
COMP	Nasdaq Composite
CPC	Total Put/Call Ratio
CPCB	Bond Put/Call Ratio
CPCI	Index Put/Call Ratio
CPCS	Equity Put/Call Ratio
CRBF	CRB Foodstuff Sub Index
CRBL	CRB Livestock Sub Index
CRBM	CRB Metals Sub Index
CRBO	CRB Fats & Oils Sub Index
CRBR	CRB Raw Industrials Sub Index
CRBS	CRB Spot Index
CRBT	CRB Textiles Sub Index
CSE	CSE 25 Index
CYM	Claymore Yield ETF Iopv
DAX	Frankfurt Dax
DCFD	Dow Comp Stocks Above 5-Day Average
DCFI	Dow Comp Stocks Above 50-Day Average
DCOF	Dow Comp Stocks Above 150-Day Average
DCOH	Dow Comp Stocks Above 100-Day Average
DCSE	Djw US Semiconductor
DCTH	Dow Comp Stocks Above 200-Day Average
DCTW	Dow Comp Stocks Above 20-Day Average
DECA	AMEX Declining Stocks
DECC	CSE Declining Stocks
