Symbol	Description
AAAAX	Dws Rreef Real Assets Fund - Class A
AAACX	Alpha Alternative Assets Fund
AAAFX	One Choice Blend+ 2015 Portfolio  Investor Class
AAAGX	Thrivent Large Cap Growth Fund Class A
AAAHX	One Choice Blend+ 2015 Portfolio  I Class
AAAIX	American Century Strategic Allocation Aggressiv
AAAJX	One Choice Blend+ 2015 Portfolio  A Class
AAAKX	One Choice Blend+ 2015 Portfolio  R Class
AAALX	One Choice Blend+ 2015 Portfolio  R6 Class
AAAMX	One Choice Blend+ 2020 Portfolio  Investor Class
AAANX	Horizon Active Asset Allocation Fund - Investor
AAAOX	One Choice Blend+ 2020 Portfolio  I Class
AAAPX	Dws Rreef Real Assets Fund - Class C
AAAQX	Dws Rreef Real Assets Fund - Class R
AAARX	American Century Strategic Allocation Aggressive
AAASX	Dws Rreef Real Assets Fund - Class S
AAATX	American Fds 2010 Target Date Retirement Fd Cl A
AAAUX	American Century Strategic Allocation Aggressive
AAAVX	Dws Rreef Real Assets Fund - Class R6
AAAZX	Dws Rreef Real Assets Fund - Class Institutional
AABCX	Putnam Dynamic Asset Allocation Balanced Class C
AABEX	One Choice Blend+ 2020 Portfolio  A Class
AABFX	Thrivent Balanced Income Plus Fund Class A
AABGX	One Choice Blend+ 2020 Portfolio  R Class
AABHX	One Choice Blend+ 2020 Portfolio  R6 Class
AABJX	One Choice Blend+ 2025 Portfolio  Investor Class
AABKX	One Choice Blend+ 2025 Portfolio  I Class
AABMM	Government Fund Sweep Class
AABOX	Cavanal Hill Bond Fd Cl A Shs
AABPX	American Beacon Balanced Fund Investor Class
AABQX	One Choice Blend+ 2025 Portfolio  A Class
AABRX	One Choice Blend+ 2025 Portfolio  R Class
AABTX	American Fds 2015 Target Date Retirement Fd Cl A
AABVX	One Choice Blend+ 2025 Portfolio  R6 Class
AABWX	One Choice Blend+ 2030 Portfolio  Investor Class
AABXX	Government Fund Sweep Class Yield
AABZX	One Choice Blend+ 2030 Portfolio  A Class
AACAX	Alpha Alternative Assets Fund Cl A
AACCX	American Century Strategic Allocation Conservat
AACDX	American Century Strategic Allocation Conservati
AACFX	Invesco Greater China Fund Cl A
AACGX	American Century Strategic Allocation Conservat
AACHX	One Choice Blend+ 2030 Portfolio  R Class
AACJX	One Choice Blend+ 2030 Portfolio  R6 Class
AACKX	One Choice Blend+ 2035 Portfolio  Investor Class
AACLX	One Choice Blend+ 2035 Portfolio  I Class
AACMX	One Choice Blend+ 2035 Portfolio  A Class
AACPX	One Choice Blend+ 2035 Portfolio  R Class
AACQX	One Choice Blend+ 2035 Portfolio  R6 Class
AACRX	American Century Strategic Allocation Conservati
AACSX	One Choice Blend+ 2040 Portfolio  Investor Class
AACTX	American Fds 2020 Target Date Retirement Fd Cl A
AACUX	One Choice Blend+ 2040 Portfolio  I Class
AACVX	One Choice Blend+ 2040 Portfolio  A Class
AACWX	One Choice Blend+ 2040 Portfolio  R Class
AACZX	One Choice Blend+ 2040 Portfolio  R6 Class
AADAX	Invesco Select Risk Growth Investor Fund Class
AADBX	American Beacon Balanced Fund Institutional Clas
AADCX	Invesco Select Risk Growth Investor Fund Class
AADEX	American Beacon Large Cap Value Fund Institution
AADHX	One Choice Blend+ 2045 Portfolio  Investor Class
AADIX	Invesco Select Risk Growth Investor Fund Class
AADJX	One Choice Blend+ 2045 Portfolio  I Class
AADKX	One Choice Blend+ 2045 Portfolio  A Class
AADLX	One Choice Blend+ 2045 Portfolio  R Class
AADMX	One Choice Blend+ 2045 Portfolio  R6 Class
AADNX	One Choice Blend+ 2050 Portfolio  Investor Class
AADOX	One Choice Blend+ 2050 Portfolio  I Class
AADPX	One Choice Blend+ 2050 Portfolio  A Class
AADQX	One Choice Blend+ 2050 Portfolio  R Class
AADRX	Invesco Select Risk Growth Investor Fund Class
AADSX	Invesco Select Risk Growth Investor Fund Class
AADTX	American Fds 2025 Target Date Retirement Fd Cl A
AADUX	One Choice Blend+ 2050 Portfolio  R6 Class
